category,keyword,suggest_count,serp_count,community_count,has_ai_overview,verdict
A,"is llms.txt a scam",0,11,2,false,🟢 Keep
B,"how to create llms.txt",3,10,1,false,🟢 Keep
B,"what is llms.txt file",2,9,1,false,🟢 Keep
A,"why ChatGPT cites one page over another",0,10,1,false,🟡 Re-examine
A,"struggling to get consistent clients cleaning business",0,8,2,false,🟢 Keep
A,"how to acquire customers for indie SaaS",0,8,3,false,🟢 Keep
A,"how to promote Shopify store for sales",0,7,1,false,🟡 Re-examine
A,"how to do distribution for indie SaaS",0,9,3,false,🟢 Keep
A,"how to structure headings for listicles",0,10,1,false,🟡 Re-examine
A,"how to rank new site vs high traffic sites",0,7,1,false,🟡 Re-examine
A,"SEO for local service business",1,9,1,false,🟢 Keep
A,"how to get more clients for service business",0,8,1,false,🟡 Re-examine
A,"how to close more sales faster",0,10,1,false,🟡 Re-examine
A,"turn social media attention into clients",0,9,2,false,🟢 Keep
A,"get more genuine Google reviews for business",0,7,1,false,🟡 Re-examine
A,"build AI workers in plain English",0,11,1,false,🟡 Re-examine
A,"why people visit website but don't sign up",0,9,2,false,🟢 Keep
A,"how to automate order tracking inquiries Shopify",0,8,1,false,🟡 Re-examine
A,"open source social media scheduling alternative",0,8,1,false,🟡 Re-examine
A,"how to get Google reviews without pressure",0,9,1,false,🟡 Re-examine
B,"llms.txt vs robots.txt",1,8,1,false,🟢 Keep
B,"does llms.txt help SEO",0,8,1,false,🟡 Re-examine
B,"does ChatGPT read llms.txt",1,8,2,false,🟢 Keep
B,"how llms.txt helps AI citation",0,8,1,false,🟡 Re-examine
C,"AI agents for solopreneurs",2,7,1,false,🟢 Keep
C,"AI marketing team for solopreneur",0,8,1,false,🟡 Re-examine
C,"AI SEO agent for Shopify store",0,8,1,false,🟡 Re-examine
C,"AI competitor monitoring agent",0,9,2,false,🟢 Keep
C,"AI landing page builder for SaaS",0,9,1,false,🟡 Re-examine
C,"AI ad creative studio for Shopify",0,9,0,false,🟡 Re-examine
C,"AI agent for Notion automation",0,9,1,false,🟡 Re-examine
C,"AI email closer for Gmail",0,9,2,true,🟢 Keep
C,"AI referral architect for service business",0,9,1,false,🟡 Re-examine
C,"AI launch strategist for indie SaaS",0,8,2,false,🟢 Keep
C,"AI traffic commander for Shopify",0,8,1,false,🟡 Re-examine
C,"AI competitor scout for SaaS",0,9,1,false,🟡 Re-examine
C,"AI content machine for YouTube",0,7,2,false,🟢 Keep
C,"AI video producer for TikTok",0,9,1,false,🟡 Re-examine
C,"AI agent for Substack newsletter",0,10,1,false,🟡 Re-examine
C,"24/7 AI team for solopreneurs",0,8,2,false,🟢 Keep
